Product Class,Product Color,Product Start Date,Product End Date,Product Description,Product Name,Product Model,Product Weight,Product Style,Product Status,Product Subcategory,Product Category,Product Safety Stock Level,Product Category Group,Product Key,Product Alternate Key,Product Days to Manufacture,Product Dealer Price,Product Finished Goods Indicator,Product List Price,Product Standard Cost,Product Line
"","NA",2003-07-01 00:00:00.000,,"","Adjustable Race","",,"","Current","Undefined","Undefined",1000,"",1,"AR-5381",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Bearing Ball","",,"","Current","Undefined","Undefined",1000,"",2,"BA-8327",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Crown Race","",,"","Current","Undefined","Undefined",1000,"",12,"CR-9981",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Decal 1","",,"","Current","Undefined","Undefined",1000,"",14,"DC-8732",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Decal 2","",,"","Current","Undefined","Undefined",1000,"",15,"DC-9824",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Flat Washer 1","",,"","Current","Undefined","Undefined",1000,"",22,"FW-1000",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Flat Washer 6","",,"","Current","Undefined","Undefined",1000,"",23,"FW-1200",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Flat Washer 2","",,"","Current","Undefined","Undefined",1000,"",24,"FW-1400",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Flat Washer 9","",,"","Current","Undefined","Undefined",1000,"",25,"FW-3400",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Flat Washer 4","",,"","Current","Undefined","Undefined",1000,"",26,"FW-3800",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Flat Washer 3","",,"","Current","Undefined","Undefined",1000,"",27,"FW-5160",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Flat Washer 8","",,"","Current","Undefined","Undefined",1000,"",28,"FW-5800",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Flat Washer 5","",,"","Current","Undefined","Undefined",1000,"",29,"FW-7160",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Flat Washer 7","",,"","Current","Undefined","Undefined",1000,"",30,"FW-9160",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 9","",,"","Current","Undefined","Undefined",1000,"",38,"HJ-1213",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 10","",,"","Current","Undefined","Undefined",1000,"",39,"HJ-1220",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 1","",,"","Current","Undefined","Undefined",1000,"",40,"HJ-1420",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 2","",,"","Current","Undefined","Undefined",1000,"",41,"HJ-1428",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 15","",,"","Current","Undefined","Undefined",1000,"",42,"HJ-3410",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 16","",,"","Current","Undefined","Undefined",1000,"",43,"HJ-3416",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 5","",,"","Current","Undefined","Undefined",1000,"",44,"HJ-3816",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 6","",,"","Current","Undefined","Undefined",1000,"",45,"HJ-3824",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 3","",,"","Current","Undefined","Undefined",1000,"",46,"HJ-5161",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 4","",,"","Current","Undefined","Undefined",1000,"",47,"HJ-5162",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 13","",,"","Current","Undefined","Undefined",1000,"",48,"HJ-5811",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 14","",,"","Current","Undefined","Undefined",1000,"",49,"HJ-5818",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 7","",,"","Current","Undefined","Undefined",1000,"",50,"HJ-7161",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 8","",,"","Current","Undefined","Undefined",1000,"",51,"HJ-7162",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 12","",,"","Current","Undefined","Undefined",1000,"",52,"HJ-9080",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Thin-Jam Hex Nut 11","",,"","Current","Undefined","Undefined",1000,"",53,"HJ-9161",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 5","",,"","Current","Undefined","Undefined",1000,"",54,"HN-1024",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 6","",,"","Current","Undefined","Undefined",1000,"",55,"HN-1032",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 16","",,"","Current","Undefined","Undefined",1000,"",56,"HN-1213",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 17","",,"","Current","Undefined","Undefined",1000,"",57,"HN-1220",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 7","",,"","Current","Undefined","Undefined",1000,"",58,"HN-1224",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 8","",,"","Current","Undefined","Undefined",1000,"",59,"HN-1420",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 9","",,"","Current","Undefined","Undefined",1000,"",60,"HN-1428",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 22","",,"","Current","Undefined","Undefined",1000,"",61,"HN-3410",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 23","",,"","Current","Undefined","Undefined",1000,"",62,"HN-3416",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 12","",,"","Current","Undefined","Undefined",1000,"",63,"HN-3816",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 13","",,"","Current","Undefined","Undefined",1000,"",64,"HN-3824",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 1","",,"","Current","Undefined","Undefined",1000,"",65,"HN-4402",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 10","",,"","Current","Undefined","Undefined",1000,"",66,"HN-5161",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 11","",,"","Current","Undefined","Undefined",1000,"",67,"HN-5162",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 2","",,"","Current","Undefined","Undefined",1000,"",68,"HN-5400",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 20","",,"","Current","Undefined","Undefined",1000,"",69,"HN-5811",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 21","",,"","Current","Undefined","Undefined",1000,"",70,"HN-5818",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 3","",,"","Current","Undefined","Undefined",1000,"",71,"HN-6320",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 14","",,"","Current","Undefined","Undefined",1000,"",72,"HN-7161",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 15","",,"","Current","Undefined","Undefined",1000,"",73,"HN-7162",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 4","",,"","Current","Undefined","Undefined",1000,"",74,"HN-8320",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 18","",,"","Current","Undefined","Undefined",1000,"",75,"HN-9161",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Hex Nut 19","",,"","Current","Undefined","Undefined",1000,"",76,"HN-9168",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Keyed Washer","",,"","Current","Undefined","Undefined",1000,"",81,"KW-4091",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","External Lock Washer 3","",,"","Current","Undefined","Undefined",1000,"",82,"LE-1000",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","External Lock Washer 4","",,"","Current","Undefined","Undefined",1000,"",83,"LE-1200",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","External Lock Washer 9","",,"","Current","Undefined","Undefined",1000,"",84,"LE-1201",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","External Lock Washer 5","",,"","Current","Undefined","Undefined",1000,"",85,"LE-1400",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","External Lock Washer 7","",,"","Current","Undefined","Undefined",1000,"",86,"LE-3800",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","External Lock Washer 6","",,"","Current","Undefined","Undefined",1000,"",87,"LE-5160",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","External Lock Washer 1","",,"","Current","Undefined","Undefined",1000,"",88,"LE-6000",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","External Lock Washer 8","",,"","Current","Undefined","Undefined",1000,"",89,"LE-7160",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","External Lock Washer 2","",,"","Current","Undefined","Undefined",1000,"",90,"LE-8000",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Internal Lock Washer 3","",,"","Current","Undefined","Undefined",1000,"",91,"LI-1000",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Internal Lock Washer 4","",,"","Current","Undefined","Undefined",1000,"",92,"LI-1200",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Internal Lock Washer 9","",,"","Current","Undefined","Undefined",1000,"",93,"LI-1201",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Internal Lock Washer 5","",,"","Current","Undefined","Undefined",1000,"",94,"LI-1400",0,,"Not Finished Product",,,""
"","NA",2003-07-01 00:00:00.000,,"","Internal Lock Washer 7","",,"","Current","Undefined","Undefined",1000,"",95,"LI-3800",0,,"Not Finished Product",,,""
